model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	n_within	n_cross	config	status	description
LSTM	0.011002	0.018222	0.078898	0.107257	0.906167	0.862562	0.517510	0.495858	0.783775	0.862562	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":15,"n_steps":2,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.2667,"t2":0.7667}	discarded	sub_window=15 (mse_within worse)
LSTM	0.010372	0.018004	0.074093	0.105736	0.930488	0.882723	0.524800	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	kept	*** FINAL BEST combined config ***
LSTM	0.010452	0.018048	0.075534	0.105076	0.933424	0.877603	0.500795	0.485597	0.809048	0.883070	6609	4755	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7987,"warmup_frames":0}	discarded	warmup=0 (mse_within worse)
LSTM	0.010831	0.019285	0.075886	0.108542	0.933724	0.880444	0.521127	0.508403	0.809803	0.880871	6488	4684	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7984,"warmup_frames":100}	discarded	warmup=100 (mse_within worse)
LSTM	0.011249	0.018322	0.077697	0.107545	0.931440	0.879434	0.520325	0.497076	0.810970	0.879434	6126	4454	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7988,"warmup_frames":400}	discarded	warmup=400 (mse_within worse)
LSTM	0.010582	0.020920	0.073679	0.110467	0.929860	0.853241	0.521600	0.471248	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.15,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	dropout=0.15 (mse_within worse, cross +16%)
LSTM	0.011314	0.018549	0.080354	0.108240	0.927820	0.882506	0.516800	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.25,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	dropout=0.25 (mse_within worse)
LSTM	0.010846	0.019208	0.076699	0.108056	0.931900	0.882506	0.532800	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7983,"train_stride":5}	discarded	train_stride=5 (mse_within worse, 10x slower)
LSTM	0.010413	0.024334	0.074165	0.117590	0.929390	0.813787	0.516800	0.454418	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":40,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	Lasso-40 features (mse_cross +35%)
LSTM	0.010657	0.018864	0.074667	0.107390	0.930846	0.881296	0.441836	0.495845	0.808227	0.882238	19059	13799	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982,"eval_stride":10}	discarded	eval_stride=10 (cls_trans<0.50)
